region,industry,tax_people_count,tax_base,zero_tax_base,pay_tax,refund_tax,final_tax
경북,광업,40.0,9167.0,17.0,454.0,116.0,338.0
경북,제조업,22229.0,5477773.0,468167.0,226505.0,35735.0,190770.0
경북,전기·가스·수도업,26897.0,309734.0,-182003.0,27754.0,20338.0,7416.0
경북,도매업,17814.0,3177407.0,149268.0,75968.0,22680.0,53288.0
경북,소매업,24168.0,3901015.0,-9338.0,45717.0,22689.0,23028.0
경북,부동산임대업,741.0,27477.0,1108.0,3531.0,7034.0,-3503.0
경북,건설업,27031.0,1879992.0,-1903.0,109223.0,12106.0,97117.0
경북,음식업,26753.0,3314667.0,456.0,97931.0,4454.0,93477.0
경북,숙박업,2958.0,214422.0,11882.0,11286.0,2988.0,8298.0
경북,운수창고통신업 등,17867.0,1016431.0,9612.0,54573.0,6895.0,47678.0
경북,부동산임대업 외,26150.0,440781.0,,40601.0,7896.0,32705.0
경북,대리중개도급 등,8151.0,500204.0,,23443.0,2045.0,21398.0
경북,기타서비스업,18213.0,1199894.0,,64706.0,6678.0,58028.0
부산,농업·임업·어업,66.0,2541.0,2.0,180.0,30.0,150.0
부산,광업,7.0,323.0,-411800.0,25.0,0.0,25.0
부산,제조업,25859.0,5421584.0,-516039.0,237027.0,31439.0,205588.0
부산,전기·가스·수도업,484.0,15643.0,80781.0,996.0,1100.0,-104.0
부산,도매업,29794.0,5791757.0,-10600.0,136657.0,36673.0,99984.0
부산,소매업,31709.0,3941566.0,302.0,53533.0,15488.0,38045.0
부산,부동산임대업,901.0,7798.0,13.0,720.0,1669.0,-949.0
부산,건설업,21474.0,1709834.0,1755.0,98715.0,11088.0,87627.0
부산,음식업,34481.0,4802747.0,215.0,143471.0,9030.0,134441.0
부산,숙박업,1973.0,207820.0,37437.0,11247.0,1735.0,9512.0
부산,운수창고통신업 등,25499.0,1527200.0,68062.0,72190.0,10631.0,61559.0
부산,부동산임대업 외,65229.0,1295387.0,,121146.0,26879.0,94267.0
부산,대리중개도급 등,16160.0,893844.0,,46810.0,4255.0,42555.0
부산,기타서비스업,35114.0,2391480.0,,126257.0,14171.0,112086.0
울산,농업·임업·어업,54.0,1576.0,0.0,66.0,35.0,31.0
울산,광업,1.0,198.0,-95505.0,12.0,-5701.0,5713.0
울산,제조업,6577.0,1762178.0,0.0,92855.0,789.0,92066.0
울산,전기·가스·수도업,465.0,5484.0,36409.0,488.0,5497.0,-5009.0
울산,도매업,6158.0,1255128.0,9616.0,30352.0,3751.0,26601.0
울산,소매업,8857.0,1457197.0,-3006.0,16803.0,180.0,16623.0
울산,부동산임대업,257.0,4824.0,0.0,312.0,4602.0,-4290.0
울산,건설업,8477.0,758278.0,-369.0,46318.0,1830.0,44488.0
울산,음식업,12394.0,1594644.0,150.0,48053.0,622.0,47431.0
